Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
ANT,51.0,0 days 00:01:18.328000,7.0,0 days 02:09:06.285000,0 days 00:00:23.436000,0 days 00:00:31.555000,0 days 00:00:23.337000
ANT,52.0,0 days 00:01:18.255000,7.0,0 days 02:10:24.540000,0 days 00:00:23.382000,0 days 00:00:31.542000,0 days 00:00:23.331000
ANT,53.0,0 days 00:01:19.040000,7.0,0 days 02:11:43.580000,0 days 00:00:23.441000,0 days 00:00:31.879000,0 days 00:00:23.720000
ANT,54.0,,,0 days 02:12:48.444000,,,
ALO,1.0,0 days 00:01:28.761000,10.0,0 days 01:00:42.409000,,0 days 00:00:34.254000,0 days 00:00:24.974000
ALO,2.0,0 days 00:01:23.387000,11.0,0 days 01:02:05.796000,0 days 00:00:24.661000,0 days 00:00:33.931000,0 days 00:00:24.795000
ALO,3.0,0 days 00:01:22.424000,11.0,0 days 01:03:28.220000,0 days 00:00:24.069000,0 days 00:00:33.648000,0 days 00:00:24.707000
ALO,4.0,0 days 00:01:21.965000,11.0,0 days 01:04:50.185000,0 days 00:00:23.936000,0 days 00:00:33.355000,0 days 00:00:24.674000
ALO,5.0,0 days 00:01:21.888000,11.0,0 days 01:06:12.073000,0 days 00:00:23.833000,0 days 00:00:33.370000,0 days 00:00:24.685000
ALO,6.0,0 days 00:01:21.670000,11.0,0 days 01:07:33.743000,0 days 00:00:23.895000,0 days 00:00:33.015000,0 days 00:00:24.760000
ALO,7.0,0 days 00:01:22.247000,11.0,0 days 01:08:55.990000,0 days 00:00:23.767000,0 days 00:00:33.523000,0 days 00:00:24.957000
ALO,8.0,0 days 00:01:22.421000,11.0,0 days 01:10:18.411000,0 days 00:00:23.914000,0 days 00:00:33.440000,0 days 00:00:25.067000
ALO,9.0,0 days 00:01:22.498000,10.0,0 days 01:11:40.909000,0 days 00:00:24.143000,0 days 00:00:33.451000,0 days 00:00:24.904000
ALO,10.0,0 days 00:01:22.313000,9.0,0 days 01:13:03.222000,0 days 00:00:24.293000,0 days 00:00:33.191000,0 days 00:00:24.829000
ALO,11.0,0 days 00:01:22.304000,9.0,0 days 01:14:25.526000,0 days 00:00:24.201000,0 days 00:00:33.205000,0 days 00:00:24.898000
ALO,12.0,0 days 00:01:22.469000,9.0,0 days 01:15:47.995000,0 days 00:00:24.228000,0 days 00:00:33.394000,0 days 00:00:24.847000
ALO,13.0,0 days 00:01:30.665000,11.0,0 days 01:17:18.660000,0 days 00:00:24.303000,0 days 00:00:41.050000,0 days 00:00:25.312000
ALO,14.0,0 days 00:01:24.019000,11.0,0 days 01:18:42.679000,0 days 00:00:24.853000,0 days 00:00:33.849000,0 days 00:00:25.317000
ALO,15.0,0 days 00:01:27.958000,13.0,0 days 01:20:10.637000,0 days 00:00:24.663000,0 days 00:00:34.086000,0 days 00:00:29.209000
ALO,16.0,0 days 00:01:40.287000,19.0,0 days 01:21:50.924000,0 days 00:00:43.468000,0 days 00:00:32.581000,0 days 00:00:24.238000
ALO,17.0,0 days 00:01:20.454000,19.0,0 days 01:23:11.378000,0 days 00:00:23.599000,0 days 00:00:32.543000,0 days 00:00:24.312000
ALO,18.0,0 days 00:01:21.025000,17.0,0 days 01:24:32.403000,0 days 00:00:23.438000,0 days 00:00:33.169000,0 days 00:00:24.418000
ALO,19.0,0 days 00:01:21.033000,17.0,0 days 01:25:53.436000,0 days 00:00:23.936000,0 days 00:00:32.779000,0 days 00:00:24.318000
ALO,20.0,0 days 00:01:20.858000,16.0,0 days 01:27:14.294000,0 days 00:00:23.854000,0 days 00:00:32.618000,0 days 00:00:24.386000
ALO,21.0,0 days 00:01:20.959000,15.0,0 days 01:28:35.253000,0 days 00:00:23.623000,0 days 00:00:32.791000,0 days 00:00:24.545000
ALO,22.0,0 days 00:01:21.589000,15.0,0 days 01:29:56.842000,0 days 00:00:24.068000,0 days 00:00:32.942000,0 days 00:00:24.579000
ALO,23.0,0 days 00:01:21.616000,15.0,0 days 01:31:18.458000,0 days 00:00:23.964000,0 days 00:00:32.985000,0 days 00:00:24.667000
ALO,24.0,0 days 00:01:22.870000,14.0,0 days 01:32:41.328000,0 days 00:00:24.069000,0 days 00:00:33.691000,0 days 00:00:25.110000
ALO,25.0,0 days 00:01:21.727000,13.0,0 days 01:34:03.055000,0 days 00:00:23.714000,0 days 00:00:33.367000,0 days 00:00:24.646000
ALO,26.0,0 days 00:01:21.419000,13.0,0 days 01:35:24.474000,0 days 00:00:23.914000,0 days 00:00:32.875000,0 days 00:00:24.630000
ALO,27.0,0 days 00:01:21.394000,13.0,0 days 01:36:45.868000,0 days 00:00:23.971000,0 days 00:00:32.896000,0 days 00:00:24.527000
ALO,28.0,0 days 00:01:21.430000,13.0,0 days 01:38:07.298000,0 days 00:00:23.839000,0 days 00:00:32.981000,0 days 00:00:24.610000
ALO,29.0,0 days 00:01:21.505000,13.0,0 days 01:39:28.803000,0 days 00:00:23.909000,0 days 00:00:32.964000,0 days 00:00:24.632000
ALO,30.0,0 days 00:01:21.450000,13.0,0 days 01:40:50.253000,0 days 00:00:23.896000,0 days 00:00:32.928000,0 days 00:00:24.626000
ALO,31.0,0 days 00:01:22.196000,13.0,0 days 01:42:12.449000,0 days 00:00:24.002000,0 days 00:00:33.225000,0 days 00:00:24.969000
ALO,32.0,0 days 00:01:22.387000,12.0,0 days 01:43:34.836000,0 days 00:00:24.149000,0 days 00:00:33.310000,0 days 00:00:24.928000
ALO,33.0,0 days 00:01:21.918000,12.0,0 days 01:44:56.754000,0 days 00:00:24.027000,0 days 00:00:33.146000,0 days 00:00:24.745000
ALO,34.0,0 days 00:01:22.007000,12.0,0 days 01:46:18.761000,0 days 00:00:24.187000,0 days 00:00:33.016000,0 days 00:00:24.804000
ALO,35.0,0 days 00:01:22.218000,11.0,0 days 01:47:40.979000,0 days 00:00:24.086000,0 days 00:00:33.260000,0 days 00:00:24.872000
ALO,36.0,0 days 00:01:21.218000,11.0,0 days 01:49:02.197000,0 days 00:00:23.668000,0 days 00:00:32.970000,0 days 00:00:24.580000
ALO,37.0,0 days 00:01:21.500000,11.0,0 days 01:50:23.697000,0 days 00:00:23.940000,0 days 00:00:32.897000,0 days 00:00:24.663000
ALO,38.0,0 days 00:01:21.626000,11.0,0 days 01:51:45.323000,0 days 00:00:24.074000,0 days 00:00:32.987000,0 days 00:00:24.565000
ALO,39.0,0 days 00:01:21.717000,11.0,0 days 01:53:07.040000,0 days 00:00:24.056000,0 days 00:00:33.061000,0 days 00:00:24.600000
ALO,40.0,0 days 00:01:21.703000,11.0,0 days 01:54:28.743000,0 days 00:00:24.025000,0 days 00:00:32.966000,0 days 00:00:24.712000
ALO,41.0,0 days 00:01:21.980000,11.0,0 days 01:55:50.723000,0 days 00:00:24.050000,0 days 00:00:33.107000,0 days 00:00:24.823000
ALO,42.0,0 days 00:01:25.467000,12.0,0 days 01:57:16.190000,0 days 00:00:24.097000,0 days 00:00:33.126000,0 days 00:00:28.244000
ALO,43.0,0 days 00:01:38.519000,16.0,0 days 01:58:54.709000,0 days 00:00:42.627000,0 days 00:00:32.233000,0 days 00:00:23.659000
ALO,44.0,0 days 00:01:18.997000,15.0,0 days 02:00:13.706000,0 days 00:00:23.433000,0 days 00:00:31.857000,0 days 00:00:23.707000
ALO,45.0,0 days 00:01:19.707000,14.0,0 days 02:01:33.413000,0 days 00:00:23.470000,0 days 00:00:32.260000,0 days 00:00:23.977000
ALO,46.0,0 days 00:01:19.703000,14.0,0 days 02:02:53.116000,0 days 00:00:23.720000,0 days 00:00:32.099000,0 days 00:00:23.884000
ALO,47.0,0 days 00:01:19.587000,14.0,0 days 02:04:12.703000,0 days 00:00:23.413000,0 days 00:00:32.270000,0 days 00:00:23.904000
ALO,48.0,0 days 00:01:19.931000,14.0,0 days 02:05:32.634000,0 days 00:00:23.290000,0 days 00:00:32.305000,0 days 00:00:24.336000
ALO,49.0,0 days 00:01:21.771000,14.0,0 days 02:06:54.405000,0 days 00:00:23.488000,0 days 00:00:32.758000,0 days 00:00:25.525000
ALO,50.0,0 days 00:01:21.378000,13.0,0 days 02:08:15.783000,0 days 00:00:23.501000,0 days 00:00:32.689000,0 days 00:00:25.188000
ALO,51.0,0 days 00:01:22.129000,13.0,0 days 02:09:37.912000,0 days 00:00:24.538000,0 days 00:00:32.937000,0 days 00:00:24.654000
ALO,52.0,0 days 00:01:20.232000,12.0,0 days 02:10:58.144000,0 days 00:00:23.507000,0 days 00:00:32.600000,0 days 00:00:24.125000
ALO,53.0,0 days 00:01:20.137000,12.0,0 days 02:12:18.281000,0 days 00:00:23.465000,0 days 00:00:32.557000,0 days 00:00:24.115000
ALO,54.0,0 days 00:01:37.388000,11.0,0 days 02:13:55.669000,0 days 00:00:23.591000,0 days 00:00:40.736000,0 days 00:00:33.061000
ALO,55.0,0 days 00:02:18.700000,14.0,0 days 02:16:14.369000,0 days 00:00:48.056000,0 days 00:00:51.391000,0 days 00:00:39.253000
ALO,56.0,0 days 00:02:07.381000,13.0,0 days 02:18:21.750000,0 days 00:00:38.504000,0 days 00:00:48.902000,0 days 00:00:39.975000
ALO,57.0,0 days 00:01:55.407000,13.0,0 days 02:20:17.157000,0 days 00:00:37.871000,0 days 00:00:48.565000,0 days 00:00:28.971000
ALO,58.0,0 days 00:01:23.660000,13.0,0 days 02:21:40.817000,0 days 00:00:24.515000,0 days 00:00:33.887000,0 days 00:00:25.258000
ALO,59.0,0 days 00:01:21.227000,13.0,0 days 02:23:02.044000,0 days 00:00:24.198000,0 days 00:00:32.553000,0 days 00:00:24.476000
ALO,60.0,0 days 00:01:34.784000,13.0,0 days 02:24:36.828000,0 days 00:00:24.491000,0 days 00:00:37.616000,0 days 00:00:32.677000
ALO,61.0,0 days 00:01:20.638000,12.0,0 days 02:25:57.466000,0 days 00:00:24.223000,0 days 00:00:32.586000,0 days 00:00:23.829000
ALO,62.0,0 days 00:01:19.550000,12.0,0 days 02:27:17.016000,0 days 00:00:23.592000,0 days 00:00:32.193000,0 days 00:00:23.765000
ALO,63.0,0 days 00:01:19.886000,12.0,0 days 02:28:36.902000,0 days 00:00:23.254000,0 days 00:00:32.725000,0 days 00:00:23.907000
ALO,64.0,0 days 00:01:19.063000,11.0,0 days 02:29:55.965000,0 days 00:00:23.192000,0 days 00:00:32.069000,0 days 00:00:23.802000
ALO,65.0,0 days 00:01:18.494000,10.0,0 days 02:31:14.459000,0 days 00:00:22.827000,0 days 00:00:32.013000,0 days 00:00:23.654000
ALO,66.0,0 days 00:01:18.128000,10.0,0 days 02:32:32.587000,0 days 00:00:22.956000,0 days 00:00:31.621000,0 days 00:00:23.551000
LEC,1.0,0 days 00:01:26.275000,5.0,0 days 01:00:39.923000,,0 days 00:00:33.173000,0 days 00:00:24.382000
LEC,2.0,0 days 00:01:21.421000,5.0,0 days 01:02:01.344000,0 days 00:00:24.415000,0 days 00:00:32.960000,0 days 00:00:24.046000
LEC,3.0,0 days 00:01:20.809000,5.0,0 days 01:03:22.153000,0 days 00:00:24.264000,0 days 00:00:32.473000,0 days 00:00:24.072000
LEC,4.0,0 days 00:01:20.725000,5.0,0 days 01:04:42.878000,0 days 00:00:23.886000,0 days 00:00:32.381000,0 days 00:00:24.458000
LEC,5.0,0 days 00:01:20.750000,5.0,0 days 01:06:03.628000,0 days 00:00:23.909000,0 days 00:00:32.475000,0 days 00:00:24.366000
LEC,6.0,0 days 00:01:21.368000,5.0,0 days 01:07:24.996000,0 days 00:00:23.784000,0 days 00:00:32.764000,0 days 00:00:24.820000
LEC,7.0,0 days 00:01:21.722000,5.0,0 days 01:08:46.718000,0 days 00:00:24.036000,0 days 00:00:33.025000,0 days 00:00:24.661000
LEC,8.0,0 days 00:01:21.841000,5.0,0 days 01:10:08.559000,0 days 00:00:23.946000,0 days 00:00:33.269000,0 days 00:00:24.626000
LEC,9.0,0 days 00:01:22.127000,5.0,0 days 01:11:30.686000,0 days 00:00:24.302000,0 days 00:00:33.121000,0 days 00:00:24.704000
LEC,10.0,0 days 00:01:21.028000,4.0,0 days 01:12:51.714000,0 days 00:00:23.929000,0 days 00:00:32.569000,0 days 00:00:24.530000
LEC,11.0,0 days 00:01:21.004000,4.0,0 days 01:14:12.718000,0 days 00:00:23.860000,0 days 00:00:32.687000,0 days 00:00:24.457000
LEC,12.0,0 days 00:01:21.086000,4.0,0 days 01:15:33.804000,0 days 00:00:23.835000,0 days 00:00:32.656000,0 days 00:00:24.595000
LEC,13.0,0 days 00:01:21.406000,4.0,0 days 01:16:55.210000,0 days 00:00:24.084000,0 days 00:00:32.653000,0 days 00:00:24.669000
LEC,14.0,0 days 00:01:21.341000,3.0,0 days 01:18:16.551000,0 days 00:00:24,0 days 00:00:32.653000,0 days 00:00:24.688000
LEC,15.0,0 days 00:01:21.700000,3.0,0 days 01:19:38.251000,0 days 00:00:24.108000,0 days 00:00:32.807000,0 days 00:00:24.785000
LEC,16.0,0 days 00:01:21.481000,3.0,0 days 01:20:59.732000,0 days 00:00:24.114000,0 days 00:00:32.767000,0 days 00:00:24.600000
LEC,17.0,0 days 00:01:25.153000,3.0,0 days 01:22:24.885000,0 days 00:00:24.018000,0 days 00:00:32.833000,0 days 00:00:28.302000
LEC,18.0,0 days 00:01:39.171000,7.0,0 days 01:24:04.056000,0 days 00:00:42.623000,0 days 00:00:32.349000,0 days 00:00:24.199000
LEC,19.0,0 days 00:01:20.585000,6.0,0 days 01:25:24.641000,0 days 00:00:23.839000,0 days 00:00:32.303000,0 days 00:00:24.443000
LEC,20.0,0 days 00:01:20.775000,6.0,0 days 01:26:45.416000,0 days 00:00:24.071000,0 days 00:00:32.439000,0 days 00:00:24.265000
LEC,21.0,0 days 00:01:20.107000,5.0,0 days 01:28:05.523000,0 days 00:00:23.719000,0 days 00:00:32.203000,0 days 00:00:24.185000
LEC,22.0,0 days 00:01:19.918000,4.0,0 days 01:29:25.441000,0 days 00:00:23.675000,0 days 00:00:32.221000,0 days 00:00:24.022000
LEC,23.0,0 days 00:01:19.467000,4.0,0 days 01:30:44.908000,0 days 00:00:23.588000,0 days 00:00:31.959000,0 days 00:00:23.920000
LEC,24.0,0 days 00:01:19.578000,4.0,0 days 01:32:04.486000,0 days 00:00:23.503000,0 days 00:00:32.016000,0 days 00:00:24.059000
LEC,25.0,0 days 00:01:19.611000,4.0,0 days 01:33:24.097000,0 days 00:00:23.536000,0 days 00:00:32.003000,0 days 00:00:24.072000
LEC,26.0,0 days 00:01:19.983000,4.0,0 days 01:34:44.080000,0 days 00:00:23.689000,0 days 00:00:32.134000,0 days 00:00:24.160000
LEC,27.0,0 days 00:01:19.981000,4.0,0 days 01:36:04.061000,0 days 00:00:23.649000,0 days 00:00:32.184000,0 days 00:00:24.148000
LEC,28.0,0 days 00:01:20.061000,4.0,0 days 01:37:24.122000,0 days 00:00:23.718000,0 days 00:00:32.152000,0 days 00:00:24.191000
LEC,29.0,0 days 00:01:19.979000,4.0,0 days 01:38:44.101000,0 days 00:00:23.653000,0 days 00:00:32.127000,0 days 00:00:24.199000
LEC,30.0,0 days 00:01:20.088000,3.0,0 days 01:40:04.189000,0 days 00:00:23.604000,0 days 00:00:32.295000,0 days 00:00:24.189000
LEC,31.0,0 days 00:01:20.085000,3.0,0 days 01:41:24.274000,0 days 00:00:23.605000,0 days 00:00:32.263000,0 days 00:00:24.217000
LEC,32.0,0 days 00:01:20.007000,3.0,0 days 01:42:44.281000,0 days 00:00:23.723000,0 days 00:00:32.150000,0 days 00:00:24.134000
LEC,33.0,0 days 00:01:20.240000,3.0,0 days 01:44:04.521000,0 days 00:00:23.794000,0 days 00:00:32.231000,0 days 00:00:24.215000
LEC,34.0,0 days 00:01:20.338000,3.0,0 days 01:45:24.859000,0 days 00:00:23.804000,0 days 00:00:32.200000,0 days 00:00:24.334000
LEC,35.0,0 days 00:01:20.399000,3.0,0 days 01:46:45.258000,0 days 00:00:23.743000,0 days 00:00:32.341000,0 days 00:00:24.315000
LEC,36.0,0 days 00:01:21.159000,4.0,0 days 01:48:06.417000,0 days 00:00:24.108000,0 days 00:00:32.596000,0 days 00:00:24.455000
LEC,37.0,0 days 00:01:21.111000,4.0,0 days 01:49:27.528000,0 days 00:00:23.951000,0 days 00:00:32.602000,0 days 00:00:24.558000
LEC,38.0,0 days 00:01:20.825000,4.0,0 days 01:50:48.353000,0 days 00:00:23.865000,0 days 00:00:32.370000,0 days 00:00:24.590000
LEC,39.0,0 days 00:01:20.912000,4.0,0 days 01:52:09.265000,0 days 00:00:23.848000,0 days 00:00:32.525000,0 days 00:00:24.539000
LEC,40.0,0 days 00:01:25.756000,4.0,0 days 01:53:35.021000,0 days 00:00:23.910000,0 days 00:00:33.227000,0 days 00:00:28.619000
LEC,41.0,0 days 00:01:38.564000,6.0,0 days 01:55:13.585000,0 days 00:00:42.647000,0 days 00:00:31.939000,0 days 00:00:23.978000
LEC,42.0,0 days 00:01:19.354000,5.0,0 days 01:56:32.939000,0 days 00:00:23.708000,0 days 00:00:31.802000,0 days 00:00:23.844000
LEC,43.0,0 days 00:01:19.570000,5.0,0 days 01:57:52.509000,0 days 00:00:23.595000,0 days 00:00:31.932000,0 days 00:00:24.043000
LEC,44.0,0 days 00:01:19.321000,5.0,0 days 01:59:11.830000,0 days 00:00:23.583000,0 days 00:00:31.942000,0 days 00:00:23.796000
LEC,45.0,0 days 00:01:19.181000,5.0,0 days 02:00:31.011000,0 days 00:00:23.531000,0 days 00:00:31.790000,0 days 00:00:23.860000
LEC,46.0,0 days 00:01:19.877000,5.0,0 days 02:01:50.888000,0 days 00:00:23.571000,0 days 00:00:32.171000,0 days 00:00:24.135000
LEC,47.0,0 days 00:01:19.806000,4.0,0 days 02:03:10.694000,0 days 00:00:23.650000,0 days 00:00:32.105000,0 days 00:00:24.051000
LEC,48.0,0 days 00:01:19.304000,4.0,0 days 02:04:29.998000,0 days 00:00:23.410000,0 days 00:00:31.928000,0 days 00:00:23.966000
LEC,49.0,0 days 00:01:19.735000,4.0,0 days 02:05:49.733000,0 days 00:00:23.596000,0 days 00:00:32.049000,0 days 00:00:24.090000
LEC,50.0,0 days 00:01:19.697000,4.0,0 days 02:07:09.430000,0 days 00:00:23.556000,0 days 00:00:31.978000,0 days 00:00:24.163000
LEC,51.0,0 days 00:01:19.815000,4.0,0 days 02:08:29.245000,0 days 00:00:23.487000,0 days 00:00:32.045000,0 days 00:00:24.283000
LEC,52.0,0 days 00:01:19.831000,4.0,0 days 02:09:49.076000,0 days 00:00:23.368000,0 days 00:00:32.181000,0 days 00:00:24.282000
LEC,53.0,0 days 00:01:19.674000,4.0,0 days 02:11:08.750000,0 days 00:00:23.479000,0 days 00:00:31.983000,0 days 00:00:24.212000
LEC,54.0,0 days 00:01:19.826000,4.0,0 days 02:12:28.576000,0 days 00:00:23.472000,0 days 00:00:32.271000,0 days 00:00:24.083000
LEC,55.0,0 days 00:01:41.931000,4.0,0 days 02:14:10.507000,0 days 00:00:24.319000,0 days 00:00:43.486000,0 days 00:00:34.126000
LEC,56.0,0 days 00:02:07.848000,4.0,0 days 02:16:18.355000,0 days 00:00:47.589000,0 days 00:00:45.192000,0 days 00:00:35.067000
LEC,57.0,0 days 00:02:07.268000,4.0,0 days 02:18:25.623000,0 days 00:00:37.623000,0 days 00:00:49.788000,0 days 00:00:39.857000
LEC,58.0,0 days 00:02:03.766000,4.0,0 days 02:20:29.389000,0 days 00:00:36.938000,0 days 00:00:49.075000,0 days 00:00:37.753000
LEC,59.0,0 days 00:02:02.937000,4.0,0 days 02:22:32.326000,0 days 00:00:37.634000,0 days 00:00:48.276000,0 days 00:00:37.027000
LEC,60.0,0 days 00:02:00.826000,4.0,0 days 02:24:33.152000,0 days 00:00:35.260000,0 days 00:00:45.613000,0 days 00:00:39.953000
LEC,61.0,0 days 00:01:17.547000,3.0,0 days 02:25:50.699000,0 days 00:00:23.280000,0 days 00:00:31.168000,0 days 00:00:23.099000
LEC,62.0,0 days 00:01:17.259000,3.0,0 days 02:27:07.958000,0 days 00:00:22.833000,0 days 00:00:31.092000,0 days 00:00:23.334000
LEC,63.0,0 days 00:01:17.609000,3.0,0 days 02:28:25.567000,0 days 00:00:22.894000,0 days 00:00:31.197000,0 days 00:00:23.518000
LEC,64.0,0 days 00:01:18.130000,3.0,0 days 02:29:43.697000,0 days 00:00:23.057000,0 days 00:00:31.475000,0 days 00:00:23.598000
LEC,65.0,0 days 00:01:18.644000,3.0,0 days 02:31:02.341000,0 days 00:00:23.050000,0 days 00:00:31.685000,0 days 00:00:23.909000
LEC,66.0,0 days 00:01:19.137000,3.0,0 days 02:32:21.478000,0 days 00:00:23.283000,0 days 00:00:31.853000,0 days 00:00:24.001000
TSU,1.0,0 days 00:01:33.614000,19.0,0 days 01:00:47.262000,,0 days 00:00:33.422000,0 days 00:00:24.875000
TSU,2.0,0 days 00:01:23.482000,19.0,0 days 01:02:10.744000,0 days 00:00:24.492000,0 days 00:00:33.757000,0 days 00:00:25.233000
TSU,3.0,0 days 00:01:23.005000,19.0,0 days 01:03:33.749000,0 days 00:00:24.256000,0 days 00:00:33.736000,0 days 00:00:25.013000
TSU,4.0,0 days 00:01:22.585000,19.0,0 days 01:04:56.334000,0 days 00:00:24.079000,0 days 00:00:33.591000,0 days 00:00:24.915000
TSU,5.0,0 days 00:01:22.249000,19.0,0 days 01:06:18.583000,0 days 00:00:23.834000,0 days 00:00:33.353000,0 days 00:00:25.062000
TSU,6.0,0 days 00:01:22.860000,19.0,0 days 01:07:41.443000,0 days 00:00:24.134000,0 days 00:00:33.568000,0 days 00:00:25.158000
TSU,7.0,0 days 00:01:22.950000,18.0,0 days 01:09:04.393000,0 days 00:00:24.038000,0 days 00:00:33.791000,0 days 00:00:25.121000
TSU,8.0,0 days 00:01:27.017000,18.0,0 days 01:10:31.410000,0 days 00:00:24.167000,0 days 00:00:33.996000,0 days 00:00:28.854000
TSU,9.0,0 days 00:01:38.978000,19.0,0 days 01:12:10.388000,0 days 00:00:42.680000,0 days 00:00:32.185000,0 days 00:00:24.113000
TSU,10.0,0 days 00:01:19.888000,17.0,0 days 01:13:30.276000,0 days 00:00:23.565000,0 days 00:00:32.320000,0 days 00:00:24.003000
TSU,11.0,0 days 00:01:20.645000,17.0,0 days 01:14:50.921000,0 days 00:00:23.847000,0 days 00:00:32.472000,0 days 00:00:24.326000
TSU,12.0,0 days 00:01:21.574000,17.0,0 days 01:16:12.495000,0 days 00:00:24.139000,0 days 00:00:32.804000,0 days 00:00:24.631000
TSU,13.0,0 days 00:01:21.933000,17.0,0 days 01:17:34.428000,0 days 00:00:24.248000,0 days 00:00:33.101000,0 days 00:00:24.584000
TSU,14.0,0 days 00:01:21.887000,17.0,0 days 01:18:56.315000,0 days 00:00:24.082000,0 days 00:00:33.021000,0 days 00:00:24.784000
TSU,15.0,0 days 00:01:21.715000,16.0,0 days 01:20:18.030000,0 days 00:00:24.132000,0 days 00:00:32.873000,0 days 00:00:24.710000
TSU,16.0,0 days 00:01:21.566000,15.0,0 days 01:21:39.596000,0 days 00:00:23.962000,0 days 00:00:32.888000,0 days 00:00:24.716000
TSU,17.0,0 days 00:01:21.943000,15.0,0 days 01:23:01.539000,0 days 00:00:24.030000,0 days 00:00:33.146000,0 days 00:00:24.767000
TSU,18.0,0 days 00:01:21.991000,15.0,0 days 01:24:23.530000,0 days 00:00:24.196000,0 days 00:00:33.144000,0 days 00:00:24.651000
TSU,19.0,0 days 00:01:22.216000,14.0,0 days 01:25:45.746000,0 days 00:00:24.122000,0 days 00:00:33.199000,0 days 00:00:24.895000
TSU,20.0,0 days 00:01:22.926000,13.0,0 days 01:27:08.672000,0 days 00:00:24.244000,0 days 00:00:33.599000,0 days 00:00:25.083000
TSU,21.0,0 days 00:01:22.496000,12.0,0 days 01:28:31.168000,0 days 00:00:24.271000,0 days 00:00:33.378000,0 days 00:00:24.847000
TSU,22.0,0 days 00:01:22.253000,12.0,0 days 01:29:53.421000,0 days 00:00:24.163000,0 days 00:00:33.276000,0 days 00:00:24.814000
TSU,23.0,0 days 00:01:22.452000,12.0,0 days 01:31:15.873000,0 days 00:00:24.048000,0 days 00:00:33.493000,0 days 00:00:24.911000
TSU,24.0,0 days 00:01:26.048000,15.0,0 days 01:32:41.921000,0 days 00:00:24.234000,0 days 00:00:33.403000,0 days 00:00:28.411000
TSU,25.0,0 days 00:01:38.654000,19.0,0 days 01:34:20.575000,0 days 00:00:42.788000,0 days 00:00:31.993000,0 days 00:00:23.873000
TSU,26.0,0 days 00:01:20.192000,19.0,0 days 01:35:40.767000,0 days 00:00:23.932000,0 days 00:00:32.140000,0 days 00:00:24.120000
TSU,27.0,0 days 00:01:20.381000,18.0,0 days 01:37:01.148000,0 days 00:00:23.727000,0 days 00:00:32.432000,0 days 00:00:24.222000
TSU,28.0,0 days 00:01:21.126000,18.0,0 days 01:38:22.274000,0 days 00:00:23.962000,0 days 00:00:32.507000,0 days 00:00:24.657000
TSU,29.0,0 days 00:01:20.380000,17.0,0 days 01:39:42.654000,0 days 00:00:23.621000,0 days 00:00:32.552000,0 days 00:00:24.207000
TSU,30.0,0 days 00:01:20.229000,17.0,0 days 01:41:02.883000,0 days 00:00:23.665000,0 days 00:00:32.328000,0 days 00:00:24.236000
TSU,31.0,0 days 00:01:20.678000,17.0,0 days 01:42:23.561000,0 days 00:00:23.804000,0 days 00:00:32.512000,0 days 00:00:24.362000
TSU,32.0,0 days 00:01:20.806000,16.0,0 days 01:43:44.367000,0 days 00:00:23.731000,0 days 00:00:32.567000,0 days 00:00:24.508000
TSU,33.0,0 days 00:01:20.949000,16.0,0 days 01:45:05.316000,0 days 00:00:23.845000,0 days 00:00:32.709000,0 days 00:00:24.395000
TSU,34.0,0 days 00:01:21.874000,15.0,0 days 01:46:27.190000,0 days 00:00:23.930000,0 days 00:00:33.133000,0 days 00:00:24.811000
TSU,35.0,0 days 00:01:21.452000,15.0,0 days 01:47:48.642000,0 days 00:00:23.719000,0 days 00:00:33.114000,0 days 00:00:24.619000
TSU,36.0,0 days 00:01:21.348000,14.0,0 days 01:49:09.990000,0 days 00:00:23.822000,0 days 00:00:33.098000,0 days 00:00:24.428000
TSU,37.0,0 days 00:01:21.355000,14.0,0 days 01:50:31.345000,0 days 00:00:23.700000,0 days 00:00:32.930000,0 days 00:00:24.725000
TSU,38.0,0 days 00:01:20.980000,13.0,0 days 01:51:52.325000,0 days 00:00:23.773000,0 days 00:00:32.811000,0 days 00:00:24.396000
TSU,39.0,0 days 00:01:21.082000,13.0,0 days 01:53:13.407000,0 days 00:00:23.846000,0 days 00:00:32.741000,0 days 00:00:24.495000
TSU,40.0,0 days 00:01:20.982000,13.0,0 days 01:54:34.389000,0 days 00:00:23.795000,0 days 00:00:32.685000,0 days 00:00:24.502000
TSU,41.0,0 days 00:01:22.859000,13.0,0 days 01:55:57.248000,0 days 00:00:23.880000,0 days 00:00:34.283000,0 days 00:00:24.696000
TSU,42.0,0 days 00:01:22.850000,13.0,0 days 01:57:20.098000,0 days 00:00:23.902000,0 days 00:00:34.114000,0 days 00:00:24.834000
TSU,43.0,0 days 00:01:21.433000,12.0,0 days 01:58:41.531000,0 days 00:00:23.977000,0 days 00:00:32.860000,0 days 00:00:24.596000
TSU,44.0,0 days 00:01:27.462000,13.0,0 days 02:00:08.993000,0 days 00:00:25.817000,0 days 00:00:33.299000,0 days 00:00:28.346000
TSU,45.0,0 days 00:01:38.220000,17.0,0 days 02:01:47.213000,0 days 00:00:42.285000,0 days 00:00:32.067000,0 days 00:00:23.868000
TSU,46.0,0 days 00:01:17.998000,17.0,0 days 02:03:05.211000,0 days 00:00:23.164000,0 days 00:00:31.430000,0 days 00:00:23.404000
